"","","","","//==================================
// credits
//==================================","","","",""
"string","str-0x345","","","守尾　崇","",,"=IF(F65=I65, ""UNTRANSLATED"", """")",""
"string","str-0x352","","","助監督","",,"=IF(F66=I66, ""UNTRANSLATED"", """")",""
"string","str-0x35C","","","内村享人","",,"=IF(F67=I67, ""UNTRANSLATED"", """")",""
"string","str-0x368","","","小林正樹","",,"=IF(F68=I68, ""UNTRANSLATED"", """")",""
"string","str-0x374","","","高山昌也","",,"=IF(F69=I69, ""UNTRANSLATED"", """")",""
"string","str-0x381","","","システム・プログラム","",,"=IF(F70=I70, ""UNTRANSLATED"", """")",""
"string","str-0x399","","","三上　哲","",,"=IF(F71=I71, ""UNTRANSLATED"", """")",""
"string","str-0x3A5","","","菊池賢次","",,"=IF(F72=I72, ""UNTRANSLATED"", """")",""
"string","str-0x3B2","","","ゲーム・プログラム","",,"=IF(F73=I73, ""UNTRANSLATED"", """")",""
"string","str-0x3C8","","","中田伸一","",,"=IF(F74=I74, ""UNTRANSLATED"", """")",""
"string","str-0x3D4","","","山森正和","",,"=IF(F75=I75, ""UNTRANSLATED"", """")",""
"string","str-0x3E1","","","サウンド・プログラム","",,"=IF(F76=I76, ""UNTRANSLATED"", """")",""
"string","str-0x3F9","","","滝本利昭","",,"=IF(F77=I77, ""UNTRANSLATED"", """")",""
"string","str-0x405","","","星　恵太","",,"=IF(F78=I78, ""UNTRANSLATED"", """")",""
"string","str-0x411","","","岩淵貴幸","",,"=IF(F79=I79, ""UNTRANSLATED"", """")",""
"string","str-0x41D","","","高橋克昇","",,"=IF(F80=I80, ""UNTRANSLATED"", """")",""
"string","str-0x42A","","","マップ・デザイン","",,"=IF(F81=I81, ""UNTRANSLATED"", """")",""
"string","str-0x43E","","","藤本佳代","",,"=IF(F82=I82, ""UNTRANSLATED"", """")",""
"string","str-0x44A","","","久保　久","",,"=IF(F83=I83, ""UNTRANSLATED"", """")",""
"string","str-0x457","","","アニメーション・デザイン","",,"=IF(F84=I84, ""UNTRANSLATED"", """")",""
"string","str-0x473","","","進藤　司","=T(F47)","=""DUPE: ""&ADDRESS(ROW(F47), COLUMN(F47), 4)",,
"string","str-0x47F","","","岡田寿夫","",,"=IF(F86=I86, ""UNTRANSLATED"", """")",""
"string","str-0x48B","","","佐藤　裕","",,"=IF(F87=I87, ""UNTRANSLATED"", """")",""
"string","str-0x497","","","武田真理","",,"=IF(F88=I88, ""UNTRANSLATED"", """")",""
"string","str-0x4A4","","","動画","",,"=IF(F89=I89, ""UNTRANSLATED"", """")",""
"string","str-0x4AC","","","岡本敏郎","=T(F46)","=""DUPE: ""&ADDRESS(ROW(F46), COLUMN(F46), 4)",,
"string","str-0x4B8","","","松浦浩司","",,"=IF(F91=I91, ""UNTRANSLATED"", """")",""
"string","str-0x4C4","","","輪島智美","",,"=IF(F92=I92, ""UNTRANSLATED"", """")",""
"string","str-0x4D0","","","佐々木伸","",,"=IF(F93=I93, ""UNTRANSLATED"", """")",""
"string","str-0x4DC","","","藤井康博","",,"=IF(F94=I94, ""UNTRANSLATED"", """")",""
"string","str-0x4E9","","","ＳＩＦＣＡ","",,"=IF(F95=I95, ""UNTRANSLATED"", """")",""
"string","str-0x4F7","","","CORPORATION","",,"=IF(F96=I96, ""UNTRANSLATED"", """")",""
"string","str-0x506","","","伊藤寿仁","",,"=IF(F97=I97, ""UNTRANSLATED"", """")",""
"string","str-0x512","","","大坪三栄子","",,"=IF(F98=I98, ""UNTRANSLATED"", """")",""
"string","str-0x521","","","ＲＥＤ","",,"=IF(F99=I99, ""UNTRANSLATED"", """")",""
"string","str-0x52B","","","水谷謙之介","",,"=IF(F100=I100, ""UNTRANSLATED"", """")",""
"string","str-0x539","","","相庭博人","",,"=IF(F101=I101, ""UNTRANSLATED"", """")",""
"string","str-0x546","","","スーパーバイザー","",,"=IF(F102=I102, ""UNTRANSLATED"", """")",""
"string","str-0x55A","","","中本伸一","",,"=IF(F103=I103, ""UNTRANSLATED"", """")",""
"string","str-0x566","","","小林敬樹","",,"=IF(F104=I104, ""UNTRANSLATED"", """")",""
"string","str-0x572","","","笹川敏幸","",,"=IF(F105=I105, ""UNTRANSLATED"", """")",""
"string","str-0x57E","","","飛田雅宏","",,"=IF(F106=I106, ""UNTRANSLATED"", """")",""
"string","str-0x58B","","","テクニカル・スタッフ","",,"=IF(F107=I107, ""UNTRANSLATED"", """")",""
"string","str-0x5A3","","","野沢勝広","",,"=IF(F108=I108, ""UNTRANSLATED"", """")",""
"string","str-0x5AF","","","本迫芳夫","",,"=IF(F109=I109, ""UNTRANSLATED"", """")",""
"string","str-0x5BB","","","小山俊典","",,"=IF(F110=I110, ""UNTRANSLATED"", """")",""
"string","str-0x5C7","","","松下和裕","",,"=IF(F111=I111, ""UNTRANSLATED"", """")",""
"string","str-0x5D4","","","スペシャル　サンクス","",,"=IF(F112=I112, ""UNTRANSLATED"", """")",""
"string","str-0x5EC","","","高野エマ","",,"=IF(F113=I113, ""UNTRANSLATED"", """")",""
"string","str-0x5F8","","","広井栄二","",,"=IF(F114=I114, ""UNTRANSLATED"", """")",""
"string","str-0x604","","","野田一行","",,"=IF(F115=I115, ""UNTRANSLATED"", """")",""
"string","str-0x610","","","吉川雄二","",,"=IF(F116=I116, ""UNTRANSLATED"", """")",""
"string","str-0x61D","","","家入多佳文","",,"=IF(F117=I117, ""UNTRANSLATED"", """")",""
"string","str-0x62B","","","湯沢一毅","",,"=IF(F118=I118, ""UNTRANSLATED"", """")",""
"string","str-0x637","","","水谷　健","",,"=IF(F119=I119, ""UNTRANSLATED"", """")",""
"string","str-0x643","","","まきのこうじ","",,"=IF(F120=I120, ""UNTRANSLATED"", """")",""
"string","str-0x653","","","桑原美生","",,"=IF(F121=I121, ""UNTRANSLATED"", """")",""
"string","str-0x65F","","","福田正和","",,"=IF(F122=I122, ""UNTRANSLATED"", """")",""
"string","str-0x66C","","","協力","",,"=IF(F123=I123, ""UNTRANSLATED"", """")",""
"string","str-0x674","","","青二プロダクション","",,"=IF(F124=I124, ""UNTRANSLATED"", """")",""
"string","str-0x68A","","","音響ハウス","",,"=IF(F125=I125, ""UNTRANSLATED"", """")",""
"string","str-0x698","","","キャブ","",,"=IF(F126=I126, ""UNTRANSLATED"", """")",""
"string","str-0x6A3","","","サンプロデュース","",,"=IF(F127=I127, ""UNTRANSLATED"", """")",""
"string","str-0x6B7","","","スタジオイオン","",,"=IF(F128=I128, ""UNTRANSLATED"", """")",""
"string","str-0x6C9","","","ティックタック","",,"=IF(F129=I129, ""UNTRANSLATED"", """")",""
"string","str-0x6DB","","","パブリッシャー","",,"=IF(F130=I130, ""UNTRANSLATED"", """")",""
"string","str-0x6EE","","","東京ムービー新社","",,"=IF(F131=I131, ""UNTRANSLATED"", """")",""
"string","str-0x702","","","トラフイコ","",,"=IF(F132=I132, ""UNTRANSLATED"", """")",""
"string","str-0x710","","","ミュージカル・プラン","",,"=IF(F133=I133, ""UNTRANSLATED"", """")",""
"string","str-0x728","","","（五十音順）","",,"=IF(F134=I134, ""UNTRANSLATED"", """")",""
"string","str-0x739","","","総監督","",,"=IF(F135=I135, ""UNTRANSLATED"", """")",""
"string","str-0x743","","","広井王子","",,"=IF(F136=I136, ""UNTRANSLATED"", """")",""
